author      entry        time(h)
admin           MyNab        0.33 
admin           NLinE2       0.58 
admin           NLinE3       0.58 
admin           NLinEq       1.00 
admin           NSet         0.42 
admin           NSphV        1.25 
admin           NatUni       0.25 
admin           NdFuri       0.50 
admin           NelMea       0.25 
admin           New3         0.33 
admin           NineJ        0.17 
admin           NoUnit       0.67 
admin           Noethe       0.25 
admin           NordEq       1.08 
admin           NormSG       0.42 
admin           NormV        1.67 
admin           NtLcns       0.17 
admin           NumErr       1.42 
admin           NumVec       0.17 
admin           ODE          0.33 
admin           ODE1         1.67 
admin           ODEsys       0.67 
admin           Ode2         0.17 
admin           Ode2N        0.17 
admin           OdeMid       0.17 
admin           OdeNum       0.42 
admin           OdeRK4       0.42 
admin           OpComu       0.50 
admin           OpExp        0.42 
admin           OpMat        0.33 
admin           OrNrB        0.75 
admin           OrthSb       0.50 
admin           OrthSp       0.58 
admin           Osiand       0.33 
admin           OvrDet       0.25 
admin           P2Line       0.17 
admin           PChain       0.17 
admin           PCuvMo       1.25 
admin           PLaw         0.58 
admin           PLaw1        0.25 
admin           PSys         0.33 
admin           PTCont       0.25 
admin           PVgraf       0.58 
admin           PVnRT        0.58 
admin           PWave        0.67 
admin           PanBak       1.33 
admin           ParOp        0.25 
admin           ParWav       1.67 
admin           Para3        0.17 
admin           ParaCr       1.92 
admin           ParaHy       0.17 
admin           Parity       0.42 
admin           PartiP       0.17 
admin           PauliE       0.83 
admin           PearsR       0.17 
admin           Pendu3       0.67 
admin           PhShi1       0.17 
admin           PhoGas       0.50 
admin           Pl2Ylm       0.33 
admin           Pmd1         0.58 
admin           PoiEqu       0.25 
admin           PolCur       0.58 
admin           Polar        0.25 
admin           PolyNm       0.50 
admin           Ponder       0.33 
admin           PrmSol       0.50 
admin           Propos       0.17 
admin           Pscrol       0.25 
admin           Ptable       0.58 
admin           PwOrNr       0.75 
admin           PwvAdd       0.25 
admin           PyClas       0.25 
admin           PyData       0.33 
admin           PyExcp       0.50 
admin           PyFile       0.67 
admin           PyFit        0.42 
admin           PyFunc       0.25 
admin           PyIfFr       0.50 
admin           PyMod        1.42 
admin           PyStr        1.33 
admin           PyType       0.75 
admin           Python       2.83 
admin           QEng         2.75 
admin           QFIntro      0.25 
admin           QGsME        0.17 
admin           QHallE       0.25 
admin           QLNorm       0.25 
admin           QM0          0.92 
admin           QMEM         1.33 
admin           QMPos        0.33 
admin           QMcons       0.67 
admin           QMmat        0.67 
admin           QMscat       2.75 
admin           QOrbAM       0.67 
admin           QSHOnr       0.25 
admin           QtTran       0.92 
admin           Quasta       0.25 
admin           Quat         1.92 
admin           QuatN        0.25 
admin           QuoSpa       0.17 
admin           RBEM         0.42 
admin           RBEMQt       0.17 
admin           RBEqM        0.33 
admin           RBSt         1.00 
admin           RBrot2       0.25 
admin           RCcurv       0.25 
admin           RCrank       2.83 
admin           RHRul        0.42 
admin           RHS          0.67 
admin           RNS          0.25 
admin           RYTDSE       0.17 
admin           RabiF        0.50 
admin           RadSE        1.17 
admin           RandF        0.50 
admin           Rcomb        0.17 
admin           Rconst       0.75 
admin           RecCam       0.25 
admin           RelDop       1.00 
admin           RelVel       0.33 
admin           Relat        0.33 
admin           Resist       2.17 
admin           ResoN        0.17 
admin           RetPot       0.42 
admin           RetPt0       0.33 
admin           RiLem        0.33 
admin           RiMetr       0.17 
admin           RiZeta       0.25 
admin           Rieman       0.42 
admin           RigBd        0.50 
admin           RigRot       1.25 
admin           Ring         0.42 
admin           RingB        0.75 
admin           RopeFP       0.33 
admin           Rot2D        0.33 
admin           Rot3D        0.42 
admin           RotA         0.25 
admin           RotDer       0.42 
admin           RuthSc       0.17 
admin           SFINAE       0.17 
admin           SHO          0.33 
admin           SHOSph       0.33 
admin           SIunit       1.33 
admin           SLISC        2.08 
admin           SLSvec       0.25 
admin           SR4Rep       0.17 
admin           SRAcc        0.17 
admin           SRDyn        0.17 
admin           SRc          0.25 
admin           SRsmt        0.33 
admin           SVarDP       0.17 
admin           Sample       3.83 
admin           Sca1D        1.17 
admin           ScaNrm       7.83 
admin           ScaPT        0.17 
admin           Scater       0.25 
admin           SchEq        1.67 
admin           SciPy        0.33 
admin           SelRul       1.75 
admin           SepVar       0.92 
admin           Set          1.83 
admin           SetLim       0.58 
admin           Sfile        0.83 
admin           ShoWav       0.33 
admin           SliAri       1.00 
admin           SliBan       0.25 
admin           SliCut       2.33 
admin           SliMat       2.58 
admin           SliTim       0.25 
admin           SmthM        0.17 
admin           SolAng       0.17 
admin           SpcLad       1.58 
admin           SpeRel       0.33 
admin           Sph          0.33 
admin           SphAM        0.17 
admin           SphBsl       0.50 
admin           SphCar       0.83 
admin           SphCup       0.33 
admin           SphF         0.67 
admin           SphHHz       0.17 
admin           SphHar       2.00 
admin           SphLap       0.17 
admin           SphNab       0.42 
admin           Spin         0.17 
admin           Spring       0.92 
admin           SqrPot       3.08 
admin           StatEq       0.17 
admin           SteBol       0.67 
